Date,Component,Avg_Price
2022-02-21,2TB_NVME_GEN4,318.1
2022-02-22,2TB_NVME_GEN4,307.28
2022-02-23,2TB_NVME_GEN4,317.02
2022-02-24,2TB_NVME_GEN4,307.39
2022-02-25,2TB_NVME_GEN4,304.4
2022-02-26,2TB_NVME_GEN4,316.05
2022-02-27,2TB_NVME_GEN4,313.74
2022-02-28,2TB_NVME_GEN4,321.48
2022-03-01,2TB_NVME_GEN4,318.61
2022-03-02,2TB_NVME_GEN4,314.66
2022-03-03,2TB_NVME_GEN4,314.28
2022-03-04,2TB_NVME_GEN4,311.35
2022-03-05,2TB_NVME_GEN4,308.74
2022-03-06,2TB_NVME_GEN4,311.89
2022-03-07,2TB_NVME_GEN4,305.07
2022-03-08,2TB_NVME_GEN4,304.85
2022-03-09,2TB_NVME_GEN4,308.06
2022-03-10,2TB_NVME_GEN4,311.19
2022-03-11,2TB_NVME_GEN4,310.09
2022-03-12,2TB_NVME_GEN4,309.55
2022-03-13,2TB_NVME_GEN4,316.36
2022-03-14,2TB_NVME_GEN4,309.07
2022-03-15,2TB_NVME_GEN4,313.96
2022-03-16,2TB_NVME_GEN4,308.08
2022-03-17,2TB_NVME_GEN4,309.56
2022-03-18,2TB_NVME_GEN4,309.21
2022-03-19,2TB_NVME_GEN4,309.31
2022-03-20,2TB_NVME_GEN4,311.59
2022-03-21,2TB_NVME_GEN4,308.71
2022-03-22,2TB_NVME_GEN4,306.28
2022-03-23,2TB_NVME_GEN4,307.71
2022-03-24,2TB_NVME_GEN4,307.4
2022-03-25,2TB_NVME_GEN4,304.09
2022-03-26,2TB_NVME_GEN4,310.84
2022-03-27,2TB_NVME_GEN4,308.13
2022-03-28,2TB_NVME_GEN4,307.69
2022-03-29,2TB_NVME_GEN4,307.86
2022-03-30,2TB_NVME_GEN4,304.7
2022-03-31,2TB_NVME_GEN4,300.24
2022-04-01,2TB_NVME_GEN4,302.25
2022-04-02,2TB_NVME_GEN4,313.65
2022-04-03,2TB_NVME_GEN4,304.46
2022-04-04,2TB_NVME_GEN4,301.07
2022-04-05,2TB_NVME_GEN4,300.86
2022-04-06,2TB_NVME_GEN4,300.71
2022-04-07,2TB_NVME_GEN4,299.66
2022-04-08,2TB_NVME_GEN4,300.62
2022-04-09,2TB_NVME_GEN4,302.56
2022-04-10,2TB_NVME_GEN4,300.13
2022-04-11,2TB_NVME_GEN4,300.33
2022-04-12,2TB_NVME_GEN4,299.96
2022-04-13,2TB_NVME_GEN4,299.91
2022-04-14,2TB_NVME_GEN4,301.74
2022-04-15,2TB_NVME_GEN4,302.47
2022-04-16,2TB_NVME_GEN4,308.21
2022-04-17,2TB_NVME_GEN4,303.56
2022-04-18,2TB_NVME_GEN4,303.21
2022-04-19,2TB_NVME_GEN4,298.96
2022-04-20,2TB_NVME_GEN4,298.59
2022-04-21,2TB_NVME_GEN4,298.12
2022-04-22,2TB_NVME_GEN4,298.33
2022-04-23,2TB_NVME_GEN4,290.38
2022-04-24,2TB_NVME_GEN4,289.77
2022-04-25,2TB_NVME_GEN4,287.91
2022-04-26,2TB_NVME_GEN4,290.47
2022-04-27,2TB_NVME_GEN4,292.35
2022-04-28,2TB_NVME_GEN4,288.95
2022-04-29,2TB_NVME_GEN4,287.6
2022-04-30,2TB_NVME_GEN4,307.88
2022-05-01,2TB_NVME_GEN4,302.3
2022-05-02,2TB_NVME_GEN4,306.56
2022-05-03,2TB_NVME_GEN4,286.72
2022-05-04,2TB_NVME_GEN4,289.01
2022-05-05,2TB_NVME_GEN4,290.98
2022-05-06,2TB_NVME_GEN4,290.95
2022-05-07,2TB_NVME_GEN4,287.56
2022-05-08,2TB_NVME_GEN4,286.65
2022-05-09,2TB_NVME_GEN4,288.38
2022-05-10,2TB_NVME_GEN4,288.66
2022-05-11,2TB_NVME_GEN4,287.37
2022-05-12,2TB_NVME_GEN4,287.91
2022-05-13,2TB_NVME_GEN4,288.13
2022-05-14,2TB_NVME_GEN4,288.55
2022-05-15,2TB_NVME_GEN4,285.02
2022-05-16,2TB_NVME_GEN4,285.79
2022-05-17,2TB_NVME_GEN4,283.21
2022-05-18,2TB_NVME_GEN4,281.23
2022-05-19,2TB_NVME_GEN4,280.47
2022-05-20,2TB_NVME_GEN4,269.39
2022-05-21,2TB_NVME_GEN4,269.49
2022-05-22,2TB_NVME_GEN4,271.09
2022-05-23,2TB_NVME_GEN4,274.41
2022-05-24,2TB_NVME_GEN4,274.41
2022-05-25,2TB_NVME_GEN4,274.86
2022-05-26,2TB_NVME_GEN4,274.91
2022-05-27,2TB_NVME_GEN4,273.2
2022-05-28,2TB_NVME_GEN4,274.11
2022-05-29,2TB_NVME_GEN4,273.38
2022-05-30,2TB_NVME_GEN4,272.3
2022-05-31,2TB_NVME_GEN4,277.02
2022-06-01,2TB_NVME_GEN4,276.45
2022-06-02,2TB_NVME_GEN4,276.95
2022-06-03,2TB_NVME_GEN4,277.82
2022-06-04,2TB_NVME_GEN4,282.35
2022-06-05,2TB_NVME_GEN4,277.77
2022-06-06,2TB_NVME_GEN4,276.92
2022-06-07,2TB_NVME_GEN4,274.02
2022-06-08,2TB_NVME_GEN4,271.5
2022-06-09,2TB_NVME_GEN4,269.91
2022-06-10,2TB_NVME_GEN4,270.3
2022-06-11,2TB_NVME_GEN4,270.2
2022-06-12,2TB_NVME_GEN4,267.12
2022-06-13,2TB_NVME_GEN4,268.78
2022-06-14,2TB_NVME_GEN4,269.1
2022-06-15,2TB_NVME_GEN4,268.75
2022-06-16,2TB_NVME_GEN4,265.45
2022-06-17,2TB_NVME_GEN4,265.13
2022-06-18,2TB_NVME_GEN4,264.37
2022-06-19,2TB_NVME_GEN4,264.08
2022-06-20,2TB_NVME_GEN4,265.88
2022-06-21,2TB_NVME_GEN4,263.38
2022-06-22,2TB_NVME_GEN4,263.59
2022-06-23,2TB_NVME_GEN4,263.46
2022-06-24,2TB_NVME_GEN4,265.18
2022-06-25,2TB_NVME_GEN4,264.22
2022-06-26,2TB_NVME_GEN4,264.73
2022-06-27,2TB_NVME_GEN4,263.96
2022-06-28,2TB_NVME_GEN4,264.22
2022-06-29,2TB_NVME_GEN4,264.02
2022-06-30,2TB_NVME_GEN4,265.36
2022-07-01,2TB_NVME_GEN4,266.55
2022-07-02,2TB_NVME_GEN4,266.72
2022-07-03,2TB_NVME_GEN4,266.27
2022-07-04,2TB_NVME_GEN4,266.11
2022-07-05,2TB_NVME_GEN4,264.53
2022-07-06,2TB_NVME_GEN4,264.24
2022-07-07,2TB_NVME_GEN4,264.8
2022-07-08,2TB_NVME_GEN4,263.86
2022-07-09,2TB_NVME_GEN4,265.32
2022-07-10,2TB_NVME_GEN4,260.77
2022-07-11,2TB_NVME_GEN4,255.49
2022-07-12,2TB_NVME_GEN4,253.17
2022-07-13,2TB_NVME_GEN4,259.12
2022-07-14,2TB_NVME_GEN4,257.93
2022-07-15,2TB_NVME_GEN4,258.4
2022-07-16,2TB_NVME_GEN4,257.27
2022-07-17,2TB_NVME_GEN4,258.42
2022-07-18,2TB_NVME_GEN4,256.54
2022-07-19,2TB_NVME_GEN4,256.98
2022-07-20,2TB_NVME_GEN4,252.56
2022-07-21,2TB_NVME_GEN4,252.35
2022-07-22,2TB_NVME_GEN4,252.54
2022-07-23,2TB_NVME_GEN4,245.51
2022-07-24,2TB_NVME_GEN4,247.4
2022-07-25,2TB_NVME_GEN4,246.48
2022-07-26,2TB_NVME_GEN4,244.0
2022-07-27,2TB_NVME_GEN4,246.43
2022-07-28,2TB_NVME_GEN4,249.38
2022-07-29,2TB_NVME_GEN4,248.3
2022-07-30,2TB_NVME_GEN4,246.81
2022-07-31,2TB_NVME_GEN4,250.09
2022-08-01,2TB_NVME_GEN4,254.4
2022-08-02,2TB_NVME_GEN4,253.15
2022-08-03,2TB_NVME_GEN4,254.69
2022-08-04,2TB_NVME_GEN4,246.92
2022-08-05,2TB_NVME_GEN4,238.96
2022-08-06,2TB_NVME_GEN4,238.73
2022-08-07,2TB_NVME_GEN4,238.28
2022-08-08,2TB_NVME_GEN4,237.79
2022-08-09,2TB_NVME_GEN4,235.75
2022-08-10,2TB_NVME_GEN4,233.03
2022-08-11,2TB_NVME_GEN4,236.36
2022-08-12,2TB_NVME_GEN4,238.93
2022-08-13,2TB_NVME_GEN4,242.07
2022-08-14,2TB_NVME_GEN4,247.59
2022-08-15,2TB_NVME_GEN4,251.54
2022-08-16,2TB_NVME_GEN4,241.89
2022-08-17,2TB_NVME_GEN4,241.77
2022-08-18,2TB_NVME_GEN4,241.51
2022-08-19,2TB_NVME_GEN4,242.95
2022-08-20,2TB_NVME_GEN4,243.19
2022-08-21,2TB_NVME_GEN4,240.9
2022-08-22,2TB_NVME_GEN4,246.43
2022-08-23,2TB_NVME_GEN4,241.56
2022-08-24,2TB_NVME_GEN4,246.79
2022-08-25,2TB_NVME_GEN4,243.94
2022-08-26,2TB_NVME_GEN4,240.16
2022-08-27,2TB_NVME_GEN4,245.95
2022-08-28,2TB_NVME_GEN4,246.76
2022-08-29,2TB_NVME_GEN4,248.39
2022-08-30,2TB_NVME_GEN4,242.56
2022-08-31,2TB_NVME_GEN4,240.01
2022-09-01,2TB_NVME_GEN4,239.37
2022-09-02,2TB_NVME_GEN4,241.68
2022-09-03,2TB_NVME_GEN4,245.66
2022-09-04,2TB_NVME_GEN4,242.11
2022-09-05,2TB_NVME_GEN4,245.76
2022-09-06,2TB_NVME_GEN4,245.95
2022-09-07,2TB_NVME_GEN4,243.48
2022-09-08,2TB_NVME_GEN4,244.22
2022-09-09,2TB_NVME_GEN4,245.52
2022-09-10,2TB_NVME_GEN4,245.02
2022-09-11,2TB_NVME_GEN4,242.92
2022-09-12,2TB_NVME_GEN4,237.52
2022-09-13,2TB_NVME_GEN4,238.65
2022-09-14,2TB_NVME_GEN4,235.4
2022-09-15,2TB_NVME_GEN4,236.01
2022-09-16,2TB_NVME_GEN4,238.31
